what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1341000203181
processors,sysinfo,,,"4",1341000203181
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341000203181
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11D50",1341000203181
java.specification.name,sysinfo,,,"Java Platform API Specification",1341000203181
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341000203181
java.specification.version,sysinfo,,,"1.6",1341000203181
java.vendor,sysinfo,,,"Apple Inc.",1341000203181
java.version,sysinfo,,,"1.6.0_29",1341000203181
java.vm.info,sysinfo,,,"mixed mode",1341000203181
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1341000203181
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341000203181
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341000203181
java.vm.specification.version,sysinfo,,,"1.0",1341000203181
java.vm.vendor,sysinfo,,,"Apple Inc.",1341000203181
java.vm.version,sysinfo,,,"20.4-b02-402",1341000203181
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1341000203190
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1341000203657
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1341000203764
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1341000203827
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1341000203839
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1341000203845
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201109151620,"org.eclipse.cdt.codan.ui.cxx",1341000203847
started,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1341000203873
started,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1341000203875
started,bundle,org.eclipse.cdt.make.core,7.1.1.201109151620,"org.eclipse.cdt.make.core",1341000203973
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.core",1341000204039
started,bundle,org.eclipse.cdt.core,5.3.1.201109151620,"org.eclipse.cdt.core",1341000204139
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1341000204231
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1341000204294
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1341000204298
started,bundle,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui",1341000204393
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201109151620,"org.eclipse.cdt.codan.core.cxx",1341000204395
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201109151620,"org.eclipse.cdt.codan.core",1341000204400
started,bundle,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui",1341000204405
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1341000204419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341000204460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341000206461
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1341000207662
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341000211447
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1341000212091
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1341000212099
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1341000212345
stopped,bundle,org.eclipse.cdt,8.0.0.201109151620,"org.eclipse.cdt",1341000212348
stopped,bundle,org.eclipse.cdt.doc.user,5.1.0.201109151620,"org.eclipse.cdt.doc.user",1341000212351
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1341000212353
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1341000212355
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1341000212358
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1341000212358
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1341000212360
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1341000212361
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1341000212361
